t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.9039,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.330725881009322,1.5268293624519202,-1.2389714598686847,5.651423545033925,0.48783986389828016,-0.6249648556584084
0.03,0.0011977959010807209,0.0013766398847048999,0.9027881616242976,0.0025431377999947046,0.00021952769746202784,-0.00028123387593020904,0.9999967025771771,0.03992177643027966,0.04580488087355761,-0.03716914379606054,0.16954270635101773,0.014635195916948405,-0.018748945669752253,0.3762854521318104,-1.39412266656287,1.8477110772270393,-8.888295303444892,-0.6840380281731973,0.9659976698389201
0.06,0.0027343465428643758,0.0014934592519761786,0.90333591683745,0.0010865569565444797,0.00013125797106423393,-0.0001276741371240715,0.9999993929321357,0.05121033999423397,0.0039812008766715035,0.018262188520750636,-0.097106152752329,-0.0058859449282475124,0.010230984425415347,0.09453985481053295,-0.06720255677721454,-0.16405167058992554,1.6003806968797818,0.009753149062518673,-0.12104420389528059
0.09,0.004355823217427676,0.001551584634056842,0.9037359304445169,0.00035013847273820134,4.734419461835433e-05,-2.8673797407943043e-05,0.9999999371696933,0.054046535638549956,0.0019651241733550672,0.01334063840305287,-0.04909473184593555,-0.005593350456371952,0.00659965830855693,-0.10977437670222878,-0.09969846693394135,-0.09655032858100832,0.884405463241329,0.1278026963067358,-0.11523185301524919
0.12,0.005878443425114431,0.001520680858538453,0.9040491391490328,1.1701435990737725e-05,2.0948349105656215e-05,1.8473524442443978e-05,0.999999999541486,0.05075330433748309,-0.0010258298346631734,0.01044412854562262,-0.022562567948695687,-0.0017592695671698783,0.0031427027180994543,-0.20750394076905287,-0.07095365443633384,-0.05476509426023579,0.3948903536250583,0.05982654969991685,-0.06734869449985936
0.15,0.007214305296363314,0.0014261557807139264,0.9043131307323069,-0.00014903608069568214,2.1478086314520605e-05,3.531052579526376e-05,0.9999999880400525,0.044528186114411505,-0.0031544394677531884,0.008801175717815546,-0.010715857339943938,3.552692382762716e-05,0.0011222418831036735,-0.22880392166353095,-0.0360811406322199,-0.03765568944881448,0.16128591687784777,0.0024356164087606658,-0.030044761525775954
0.18,0.008344247002075623,0.0012992220021261361,0.9045432745669165,-0.00023719526280195023,2.3104398331958073e-05,3.86256618951561e-05,0.9999999708563257,0.037664068464505575,-0.004236873686719786,0.007671505034351112,-0.005877279833608505,0.00010859541609044713,0.00022089903733039495,-0.2075971490970354,-0.010696431005401408,-0.0315009681968621,0.063977043777669,-0.017237491981337172,-0.00927763577445262
0.21,0.009287350148635637,0.0011626687683092185,0.904745103983411,-0.0002965645716256093,1.697396080348863e-05,3.776703652900532e-05,0.9999999551674942,0.031436153991594516,-0.004557766616881828,0.006726475988445248,-0.003957968520278436,-0.00040852934334966806,-5.743003590318361e-05,-0.16917864111700448,0.004541232518691984,-0.02989327544213749,0.025555957359209458,-0.016536062213560854,-0.00013932384549519838
0.24,0.01007818744668297,0.0010301940132708069,0.9049200631715083,-0.000344433419304221,3.402711297645989e-06,3.684772692199003e-05,0.9999999399981413,0.02636079475808438,-0.004421529641321069,0.005829677725181124,-0.003191289799502152,-0.0009046112097564937,-6.160975126803956e-05,-0.12828231905538534,0.012260820943883033,-0.030245712485689413,0.009673072836488217,-0.0103303849046128,0.0029280144005419118
0.27,0.01075356452114826,0.0009087410908060368,0.9050678290785636,-0.0003879492078849403,-1.4816596921645188e-05,3.724760997580425e-05,0.9999999239442451,0.02251232518642282,-0.004053705013004578,0.004922306350610441,-0.0029010976144075054,-0.0012145227568948777,2.623068074821779e-05,-0.09175173345866053,0.015225048163134858,-0.031542791297859196,0.0018140817185532399,-0.004996372009951955,0.0034406684346226513
