t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz
0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.004970091995761821,0.0015079628363217311,0.8993287831534195,0.002568057203958158,0.0009742463148083305,-0.0007250140694378089,0.9999959651323171,0.16565506207704075,0.05032810753321798,-0.022341634600223086,0.17120404385916038,0.06494984167525125,-0.04833433630342192
0.06,0.011601324474961039,0.0016317411886473073,0.8995447610014088,0.0009014488466296197,0.0004907816533698445,-0.0003605991972860822,0.9999994082456072,0.22102569949545386,0.0043913891164268845,0.007508333132795697,-0.11110772396028035,-0.03224925299482602,0.024268931113974934
0.09,0.018865941571380922,0.0016543215593427395,0.8995513020214921,-5.394741271918324e-06,9.841672448315428e-05,-8.23238208689306e-05,0.9999999917539167,0.2421533850428865,0.0008601792183466303,0.00035999822193176316,-0.06045592150071466,-0.02616274720357513,0.018545607048834317
0.12,0.02600907840663495,0.0015914362111577088,0.899450357009781,-0.0005140264575992627,-1.5016578751988842e-05,5.467425644057337e-05,0.9999998662810055,0.23810490009982382,-0.0020878542850209384,-0.0033460597827807415,-0.03390905880414382,-0.0075650604678499,0.009129826844434115
0.15,0.03263017691673644,0.0014784816538682668,0.8992741556911483,-0.0008453639681738951,-1.8946312189821694e-06,0.00010213988836847562,0.9999996374617417,0.22070259182384083,-0.0037917709281250715,-0.005882245576777237,-0.022089077325338047,0.0008743773085959101,0.0031651573042200615
0.18,0.03860427639486769,0.0013451008960615619,0.8990376252796148,-0.0011019989341740223,2.0427577572406635e-05,0.00011006295567609989,0.9999993865334164,0.19913584913561116,-0.004472923863231528,-0.007889340707068654,-0.017108852861848746,0.00148944768412063,0.0005294964515031694
0.21,0.04397426238206161,0.0012118091612850156,0.8987497823628856,-0.0013275083887900223,8.949247880131023e-06,0.00010679836690984668,0.9999991131173555,0.17899884965043347,-0.004458558656736471,-0.009600318841853634,-0.015034054409711594,-0.0007633266234897112,-0.0002187874944943693
0.24,0.04886592811537128,0.0010912089390464474,0.8984133250529732,-0.0015404429488931394,-3.970730068483153e-05,0.00010465384966783284,0.9999988072525002,0.16305432901952202,-0.0040222975455010326,-0.011231791504207743,-0.014195997082317722,-0.003242061008924715,-0.0001473986848229383
0.27,0.053436547171232536,0.0009893317370703568,0.8980240785874015,-0.00174936545204594,-0.00011692051262196328,0.00010773452052831794,0.9999984572205008,0.15235121356613807,-0.0033855225946406334,-0.013009899779608832,-0.01392871688186292,-0.005146401028798149,0.00019800380290292495
0.3,0.05784941708047001,0.0009067696758336217,0.8975713629711484,-0.0019578535952026166,-0.00021354299015122072,0.00011669448372435435,0.9999980537936505,0.14709005223147226,-0.002729028287626452,-0.015149289366617616,-0.013899859403795093,-0.0064410392908297535,0.0005876894286651865
0.33,0.06226366314879292,0.0008397130674050452,0.8970381968586904,-0.0021635910730034304,-0.00032139349451726476,0.0001306065592003611,0.9999975992580268,0.14713145719040194,-0.0021981795952883834,-0.017860048716410216,-0.013716505593143384,-0.0071902414587517605,0.0009163253243047085
0.36,0.06683030689932473,0.000781455772176129,0.8964003945693212,-0.00235121462153083,-0.00042942746122092156,0.00014689178850702572,0.9999971328982206,0.15220491856457094,-0.0018878865211426257,-0.02138300697054924,-0.012508865637043171,-0.007202972519099777,0.00107412072721586
0.39,0.07168716376471639,0.0007261284492061173,0.8956237820777289,-0.0024756267479619735,-0.000517309078206388,0.00016002445700721295,0.9999967890226925,0.16187008963765076,-0.0017685848223298597,-0.02604906310667622,-0.008294656553212546,-0.005859607708957544,0.0008652985900882533
0.42,0.07694476802871697,0.0006794683726628561,0.8946592668224004,-0.002435859687150934,-0.0005542311599293504,0.00015999221108098615,0.999996866904041,0.17521843890685032,-0.001453027893703325,-0.03234566929403285,0.00265074672182551,-0.002461880451321772,-9.615696023469798e-06
0.45,0.08266331151220094,0.0006405332777068042,0.893484916285448,-0.002236945465896097,-0.0005348593628345802,0.00014611129058437298,0.9999973443224414,0.1905749892157539,-0.001172763028196016,-0.03935836790385665,0.013260677892683781,0.0012915992252936622,-0.0009296007308545576
0.48,0.08885286660754198,0.000600810576086592,0.8921076212027451,-0.0019864816248172375,-0.000482643609991217,0.000127197709703899,0.9999979023811213,0.20627133722494218,-0.0011861211531026042,-0.046125043482535155,0.016697462681809168,0.003481441752322798,-0.0012620514358211224
0.51,0.09549687511263011,0.0005619225564661304,0.8905233942788257,-0.0017335570652486042,-0.0004131714027142317,0.00010823220053041228,0.999998406176272,0.22141926538545806,-0.0011515784300559842,-0.05301049003595286,0.01686164772321412,0.004631853914391346,-0.0012633067233584786
0.54,0.10256593217354734,0.0005254356539567442,0.8887233712198591,-0.0014961227477424581,-0.00033122150508416994,9.218624040785544e-05,0.9999988217046735,0.23559027570222682,-0.0010693793523825937,-0.06017984872046992,0.01582912678751154,0.00546347054099689,-0.0010668010624408156
0.57,0.1100173004803602,0.0004901754601486575,0.8866978627298382,-0.0012777660728569824,-0.00023435977253309856,8.17357324620208e-05,0.9999991528539562,0.2483405251114049,-0.0010310521802615361,-0.06766047812011339,0.014557492200231031,0.006457148985850178,-0.0006918622428926083
0.6,0.11778043177178393,0.0004523627324792363,0.8844402191477939,-0.0010747502253412443,-0.00011726967491954705,8.052593015816755e-05,0.9999994123375029,0.25874437177932325,-0.0011252632132239774,-0.07534857982819788,0.013535019724362328,0.007805000833383228,-7.38524994559523e-05
