t[s],Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter,Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter
0.0,53.0121846382,10.0025572116,75.7287341611,-4.87937009355,46.402087963,0.723299375079,62.5711720415,10.1679696832,131.624923089,-5.01544282585,49.5743867895,-0.467584215715
0.03,81.3096636802,-14.238264867,253.517983433,-19.4308407476,42.3295717331,16.254506819,0.0,0.0,0.0,0.0,0.0,0.0
0.06,19.4518143266,-3.69224648521,219.909705752,-20.6566038628,13.5130493366,3.05067194672,0.0,0.0,0.0,0.0,0.0,0.0
0.09,-6.58609632313,-2.05317669366,221.409719473,-21.9800833106,-3.60221407476,-1.28068588254,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-14.7494581624,-1.22066673325,222.500555678,-23.1482446239,-12.2651131322,-2.30321426229,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-15.4986750742,-0.602206259083,223.162303577,-23.9606299422,-15.7059065642,-2.22549155466,0.0,0.0,0.0,0.0,0.0,0.0
0.18,-13.4132215208,-0.140974190829,223.39763264,-24.4563138033,-16.3308929212,-1.85485480946,0.0,0.0,0.0,0.0,0.0,0.0
0.21,-10.3965308498,0.153265934018,223.251545828,-24.7037730967,-15.6444833163,-1.44573908119,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-7.23283471277,0.291364915597,222.794736981,-24.7595144027,-14.4671947424,-1.07072915203,0.0,0.0,0.0,0.0,0.0,0.0
0.27,-4.22724411465,0.297844468825,222.078802636,-24.6619252807,-13.1878790815,-0.748000724718,0.0,0.0,0.0,0.0,0.0,0.0
0.3,-1.4834396824,0.202421043246,221.114616579,-24.4326675392,-11.9630222651,-0.480829458154,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.942164097829,0.0535596880317,219.861785913,-24.0851098328,-10.8585595997,-0.271169527875,0.0,0.0,0.0,0.0,0.0,0.0
0.36,2.94680258926,-0.052249558349,218.22829728,-23.6463044784,-9.9544190459,-0.121784761238,0.0,0.0,0.0,0.0,0.0,0.0
0.39,4.39449071674,0.0210879630619,216.1405913,-23.213759131,-9.43445444308,-0.0251573184123,0.0,0.0,0.0,0.0,0.0,0.0
0.42,5.45069744185,0.0082843521262,215.231437669,-23.0694540097,-9.6650961989,0.0879214816049,0.0,0.0,0.0,0.0,0.0,0.0
0.45,6.19383776093,-0.107951453555,215.664006013,-23.2246230343,-10.6872294192,0.229932538379,0.0,0.0,0.0,0.0,0.0,0.0
0.48,6.49541677657,-0.0729424736331,215.922362365,-23.4105450118,-12.1520541489,0.343332884998,0.0,0.0,0.0,0.0,0.0,0.0
0.51,6.47864959992,-0.0143527424232,216.066162242,-23.5376918265,-13.8841476652,0.420797820386,0.0,0.0,0.0,0.0,0.0,0.0
0.54,6.15129423966,-0.00863234047742,216.185082054,-23.5951351587,-15.8981357587,0.451993600064,0.0,0.0,0.0,0.0,0.0,0.0
0.57,5.26045140938,-0.0668045000099,216.384107103,-23.6069979978,-18.428952572,0.404586420709,0.0,0.0,0.0,0.0,0.0,0.0
0.6,3.19173279024,-0.147310864187,216.820286039,-23.6265736092,-21.9930920883,0.208929700976,0.0,0.0,0.0,0.0,0.0,0.0
0.63,-1.16375716312,-0.142594096502,217.738329235,-23.7508613828,-27.4772707596,-0.258462474284,0.0,0.0,0.0,0.0,0.0,0.0
0.66,-9.61340588269,0.168136930501,219.478104337,-24.1663738688,-36.2329537921,-1.20694316503,0.0,0.0,0.0,0.0,0.0,0.0
0.69,-24.9567469337,1.17061008462,222.443042403,-25.2872731351,-50.1149066377,-3.02009271426,0.0,0.0,0.0,0.0,0.0,0.0
0.72,-51.2538121018,3.29052997064,227.556294365,-28.1335086176,-71.3280649526,-6.46154201443,0.0,0.0,0.0,0.0,0.0,0.0
0.75,-92.9206803347,0.0959359096231,288.483294345,-33.3060387942,-102.808076713,-11.1308109873,0.0,0.0,0.0,0.0,0.0,0.0
0.78,25.2468047139,1.00457071127,66.8003308778,-0.0676222062007,4.41876529071,0.055358840932,0.0,0.0,0.0,0.0,0.0,0.0
0.81,84.3410937901,-13.5591475001,170.628509414,2.91035074805,45.7502173221,2.56775490845,27.8336909356,-12.8869761785,39.578726223,2.16996078952,28.0739835001,4.39795135477
0.84,0.0,0.0,0.0,0.0,0.0,0.0,164.585159222,19.0005717916,322.244305422,27.1329561474,130.253120723,-36.0433226748
0.87,0.0,0.0,0.0,0.0,0.0,0.0,68.7379499124,1.82482249481,221.364895475,22.4661326005,78.8196426784,-9.67169033819
0.9,0.0,0.0,0.0,0.0,0.0,0.0,14.9021548724,1.78627740424,218.922278231,21.5557816735,43.2367876296,-0.949980158016
0.93,0.0,0.0,0.0,0.0,0.0,0.0,-5.89965857628,1.4246550251,216.206195346,22.1008964958,22.9449687073,1.57340170998
0.96,0.0,0.0,0.0,0.0,0.0,0.0,-12.6771757411,0.784225940148,214.997942956,22.7794261026,12.3392000774,2.10467597522
0.99,0.0,0.0,0.0,0.0,0.0,0.0,-13.6497506013,0.221251207905,215.036093514,23.3223292144,7.16095627472,2.02769481705
1.02,0.0,0.0,0.0,0.0,0.0,0.0,-12.2703079169,-0.143316318732,215.541426938,23.6950560629,4.67903286063,1.76895891561
1.05,0.0,0.0,0.0,0.0,0.0,0.0,-10.0735768375,-0.320261123926,216.0158999,23.9044186012,3.35123289031,1.47256994242
1.08,0.0,0.0,0.0,0.0,0.0,0.0,-7.73957762289,-0.347967647262,216.241897025,23.9611778879,2.41877043751,1.1944612258
1.11,0.0,0.0,0.0,0.0,0.0,0.0,-5.51098637864,-0.258036874388,216.135261161,23.870048247,1.58340411253,0.953309360704
1.14,0.0,0.0,0.0,0.0,0.0,0.0,-3.40601419858,-0.0901364968638,215.630611534,23.6304911008,0.787403078269,0.748329450362
1.17,0.0,0.0,0.0,0.0,0.0,0.0,-1.35479679734,0.0664630329587,214.613665614,23.2569309261,0.0692482555298,0.567668610767
1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.712702028464,0.0556477959364,212.935463505,22.8488797313,-0.542189665658,0.391500963069
1.23,0.0,0.0,0.0,0.0,0.0,0.0,2.75408800696,0.0957968965276,212.462205667,22.7467611087,-1.14867320825,0.176473027974
1.26,0.0,0.0,0.0,0.0,0.0,0.0,4.82461593361,0.196781392033,213.24733001,22.9554836528,-1.9035139411,-0.0966042640144
1.29,0.0,0.0,0.0,0.0,0.0,0.0,6.88496158418,0.154883894543,213.503063457,23.1372179715,-2.84186878686,-0.395691437049
1.32,0.0,0.0,0.0,0.0,0.0,0.0,8.76490926863,0.131145535118,213.409760088,23.1936492687,-4.05917956779,-0.690094667145
1.35,0.0,0.0,0.0,0.0,0.0,0.0,10.1677527639,0.210843123994,213.137577565,23.1208807793,-5.79741727025,-0.932158672434
1.38,0.0,0.0,0.0,0.0,0.0,0.0,10.4704770804,0.417707813411,212.894701763,22.950263289,-8.5915822981,-1.04022374997
1.41,0.0,0.0,0.0,0.0,0.0,0.0,8.45774129485,0.739610031185,213.043793485,22.7470447873,-13.4721809274,-0.863882997041
1.44,0.0,0.0,0.0,0.0,0.0,0.0,1.94083182925,1.10825170994,214.228711677,22.6440757445,-22.2281738046,-0.129836549391
1.47,0.0,0.0,0.0,0.0,0.0,0.0,-12.8670707505,1.28626283653,217.43576146,22.9345503501,-37.699480675,1.66109129352
1.5,0.0,0.0,0.0,0.0,0.0,0.0,-42.4648090334,0.576593762073,223.82248337,24.3299338187,-63.9920753484,5.45889796035
1.53,0.0,0.0,0.0,0.0,0.0,0.0,-97.7562150047,-2.6379156554,234.664223569,28.6066596531,-106.389892309,13.079487236
1.56,0.0,0.0,0.0,0.0,0.0,0.0,-193.026545763,-5.34792698105,295.181065647,37.898206278,-171.476560818,25.7511411577
1.59,0.0,0.0,0.0,0.0,0.0,0.0,24.5642951979,-0.603843341142,59.1758781745,-0.0315955978557,4.11980152353,-0.172421967035
1.62,25.0041525723,10.8882249206,35.6145149928,-1.16867785441,21.4133763329,-3.51767221809,68.0757330881,11.6897179084,156.31514321,-1.56124638781,31.4115315153,-1.63617310697
1.65,154.540723192,-19.4353396748,305.358903975,-23.3904041766,116.457824784,34.3008087305,0.0,0.0,0.0,0.0,0.0,0.0
1.68,64.7556629676,-2.9400775668,225.580171176,-22.134649255,74.6232609638,9.28423146806,0.0,0.0,0.0,0.0,0.0,0.0
1.71,17.1543614228,-1.67059247976,224.29318496,-22.5577736664,44.471716961,1.21156461,0.0,0.0,0.0,0.0,0.0,0.0
1.74,-0.921769099464,-0.765971680054,221.250606539,-23.4098823426,26.60214869,-1.04269671253,0.0,0.0,0.0,0.0,0.0,0.0
