[[ 0.24159703]],[[-2.24627162]],[[-3.08033901]],[[-23.5454957]],[[ 5.37781275]],[[-37.75705853]],[[ 0.15941351]],[[-2.24213929]],[[-1.26877957]],[[-26.55075401]],[[ 5.35175927]],[[-36.66714857]]
[[-27.41891465]],[[ 37.09740797]],[[ 43.44306476]],[[-22.57083662]],[[ 25.09174322]],[[-21.14778461]],[[-11.78177923]],[[-1.10912944]],[[-44.83890303]],[[-10.14971904]],[[ 0.00609774]],[[-1.63421646]]
[[-5.57784039]],[[ 25.25829927]],[[ 9.78283858]],[[-21.64376702]],[[ 22.5314197]],[[-4.36930476]],[[-2.95258561]],[[-0.76229536]],[[-10.94667038]],[[ 0.0673413]],[[-0.02154001]],[[-0.41528672]]
[[ 0.47678235]],[[ 23.91153739]],[[ 1.96937897]],[[-18.81054006]],[[ 21.92035235]],[[ 8.87737479]],[[-0.6778262]],[[ 0.21044198]],[[-2.70834301]],[[ 3.263014]],[[ 0.01070394]],[[-0.06830461]]
[[ 1.38443876]],[[ 24.04770178]],[[ 2.0025616]],[[-15.10018341]],[[ 22.05270882]],[[ 16.16629255]],[[-0.61288939]],[[ 0.1338308]],[[-2.4392203]],[[ 3.41697118]],[[ 0.00644652]],[[-0.06297696]]
[[ 0.95208186]],[[ 24.27599101]],[[ 3.42928016]],[[-12.61083622]],[[ 22.30814135]],[[ 19.46916075]],[[-0.97318437]],[[ 0.00026744]],[[-3.74543812]],[[ 3.02438611]],[[ 0.00099044]],[[-0.11214245]]
[[ 0.34424777]],[[ 24.36293823]],[[ 4.60880723]],[[-11.26742779]],[[ 22.50808372]],[[ 20.59086555]],[[-1.28992089]],[[-0.04921017]],[[-4.92575419]],[[ 2.70669092]],[[-0.00110447]],[[-0.14831328]]
[[-0.18281378]],[[ 24.33401307]],[[ 5.3974614]],[[-10.57414852]],[[ 22.61011214]],[[ 20.71189926]],[[-1.51256153]],[[-0.0541526]],[[-5.77188697]],[[ 2.51195439]],[[-0.00151253]],[[-0.1680533]]
[[-0.60327009]],[[ 24.23469019]],[[ 5.91782665]],[[-10.17783295]],[[ 22.60789004]],[[ 20.46328792]],[[-1.66908973]],[[-0.0514874]],[[-6.36797179]],[[ 2.39089931]],[[-0.00161801]],[[-0.17773575]]
[[-0.92832606]],[[ 24.08621812]],[[ 6.25966785]],[[-9.91155916]],[[ 22.49952614]],[[ 20.11979238]],[[-1.78172014]],[[-0.05645135]],[[-6.78706367]],[[ 2.30705214]],[[-0.00196911]],[[-0.1815574]]
[[-1.16517294]],[[ 23.8835065]],[[ 6.45128447]],[[-9.72409863]],[[ 22.2784873]],[[ 19.76689474]],[[-1.8565019]],[[-0.06821925]],[[-7.05271225]],[[ 2.24522974]],[[-0.00253136]],[[-0.18094941]]
